,Unnamed: 0,clear_street,id,district
298,158,город Москва 2-й Хуторской переулок,1, Савёловский район
299,159,город Москва 2-й Щемиловский переулок,1, Тверской район
300,166,город Москва 2-я Гражданская улица,1, район Богородское
301,167,город Москва 2-я Дубровская улица,1, Таганский район
302,171,город Москва 2-я Квесисская улица,1, Савёловский район
303,173,город Москва 2-я Прядильная улица,1, район Измайлово
304,145,город Москва 2-й Неопалимовский переулок,1, район Хамовники
305,178,город Москва 2-я Сокольническая улица,1, район Сокольники
306,180,город Москва 2-я Филёвская улица,1, район Филёвский Парк
307,185,город Москва 2-я Ямская улица,1, район Марьина Роща
308,186,город Москва 2-я улица Бухвостова,1, район Преображенское
309,187,город Москва 2-я улица Марьиной Рощи,1, район Марьина Роща
310,188,город Москва 2-я улица Энтузиастов,1, район Перово
311,189,город Москва 26-й километр Московской Кольцевой Автодороги,1,
312,191,город Москва 3-й Дорожный проезд,1, район Чертаново Южное
313,192,город Москва 3-й Кадашёвский переулок,1, район Якиманка
314,193,город Москва 3-й Кожуховский проезд,1, Южнопортовый район
315,195,город Москва 3-й Лихачёвский переулок,1, Головинский район
316,196,город Москва 3-й Лучевой просек,1, район Сокольники
317,146,город Москва 2-й Новокузнецкий переулок,1, район Замоскворечье
318,143,город Москва 2-й Магистральный тупик,1, Хорошёвский район
319,81,город Москва 1-й Спасоналивковский переулок,1, район Якиманка
320,117,город Москва 11-я Парковая улица,1, район Восточное Измайлово
321,84,город Москва 1-й Тушинский проезд,1, район Покровское-Стрешнево
322,87,город Москва 1-й проезд Марьиной Рощи,1, район Марьина Роща
323,89,город Москва 1-я Аэропортовская улица,1, район Аэропорт
324,90,город Москва 1-я Боевская улица,1, район Сокольники
325,94,город Москва 1-я Гражданская улица,1, район Богородское
326,96,город Москва 1-я Карачаровская улица,1, Нижегородский район
327,100,город Москва 1-я Миусская улица,1, Тверской район
328,103,город Москва 1-я Напрудная улица,1, Лосиноостровский район
329,106,город Москва 1-я Пугачёвская улица,1, район Преображенское
330,110,город Москва 1-я Чоботовская аллея,1, район Ново-Переделкино
331,111,город Москва 1-я линия Хорошёвского Серебряного Бора,1, район Хорошёво-Мнёвники
332,116,город Москва 104-й километр Московской Кольцевой Автодороги,1,
333,119,город Москва 12-й проезд Марьиной Рощи,1, район Марьина Роща
334,142,город Москва 2-й Лучевой просек,1, район Сокольники
335,122,город Москва 14-я Парковая улица,1, район Восточное Измайлово
336,125,город Москва 17-й проезд Марьиной Рощи,1, район Марьина Роща
337,127,город Москва 2-й Балтийский переулок,1, район Аэропорт
338,128,город Москва 2-й Боткинский проезд,1, район Беговой
339,129,город Москва 2-й Верхний Михайловский проезд,1, Донской район
340,131,город Москва 2-й Вышеславцев переулок,1, район Марьина Роща
341,133,город Москва 2-й Иртышский проезд,1, район Гольяново
342,134,город Москва 2-й Кабельный проезд,1, район Лефортово
343,135,город Москва 2-й Кадашёвский переулок,1, район Якиманка
344,138,город Москва 2-й Колобовский переулок,1, Тверской район
345,140,город Москва 2-й Красносельский переулок,1, Красносельский район
346,141,город Москва 2-й Курьяновский проезд,1, район Печатники
347,570,город Москва Есенинский бульвар,1, район Кузьминки
348,573,город Москва Жигулёвская улица,1, район Кузьминки
349,1420,город Москва проезд Донелайтиса,1, район Южное Тушино
350,1002,город Москва Пожарский переулок,1, район Хамовники
351,1137,город Москва Солнечногорский проезд,1, Головинский район
352,1142,город Москва Сормовский проезд,1, район Выхино-Жулебино
353,1143,город Москва Сосновая аллея,1, район Покровское-Стрешнево
354,1144,город Москва Софийская набережная,1, район Якиманка
355,1145,город Москва Союзный проспект,1, район Новогиреево
356,1148,город Москва Спартаковский переулок,1, Басманный район
357,1150,город Москва Спортивный проезд,1, район Люблино
358,1151,город Москва Средний Кондратьевский переулок,1, Пресненский район
359,1152,город Москва Средний Овчинниковский переулок,1, район Замоскворечье
360,1153,город Москва Средняя Калитниковская улица,1, Таганский район
361,1156,город Москва Сретенский тупик,1, Красносельский район
362,1158,город Москва Стандартная улица,1, Алтуфьевский район
363,1160,город Москва Староалексеевская улица,1, Алексеевский район
364,1169,город Москва Старомарьинское шоссе,1, район Марьина Роща
365,1170,город Москва Старомонетный переулок,1, район Якиманка
366,1171,город Москва Староникольская улица,1, район Южное Бутово
367,1174,город Москва Старослободская улица,1, район Сокольники
368,1178,город Москва Столовый переулок,1, Пресненский район
369,1181,город Москва Стрелецкая улица,1, район Марьина Роща
370,1182,город Москва Стрельбищенский переулок,1, Пресненский район
371,1186,город Москва Стройковская улица,1, Таганский район
372,1187,город Москва Стромынский переулок,1, район Сокольники
373,1195,город Москва Сумская улица,1, район Чертаново Северное
374,1200,город Москва Таганрогская улица,1, район Люблино
375,1210,город Москва Таможенный проезд,1, район Лефортово
376,1212,город Москва Тарусская улица,1, район Ясенево
377,1213,город Москва Тарханская улица,1, район Выхино-Жулебино
378,1132,город Москва Соймоновский проезд,1, район Хамовники
379,1119,город Москва Скорняжный переулок,1, Красносельский район
380,1115,город Москва Скатертный переулок,1, Пресненский район
381,1049,город Москва Радужная улица,1, Бабушкинский район
382,1011,город Москва Попов проезд,1, район Сокольники
383,1014,город Москва Посланников переулок,1, Басманный район
384,1022,город Москва Прибрежный проезд,1, район Левобережный
385,1025,город Москва Причальный проезд,1, Пресненский район
386,1026,город Москва Производственная улица,1, район Солнцево
387,1027,город Москва Прокатная улица,1, район Ивановское
388,1033,город Москва Проточный переулок,1, район Арбат
389,1035,город Москва Прохладная улица,1, район Бирюлёво Восточное
390,1037,город Москва Пуговишников переулок,1, район Хамовники
391,1038,город Москва Пулковская улица,1, Головинский район
392,1043,город Москва Пыжёвский переулок,1, район Якиманка
393,1044,город Москва Пяловская улица,1, район Западное Дегунино
394,1053,город Москва Рижский проезд,1, Алексеевский район
395,1112,город Москва Синельниковская улица,1, район Южное Бутово
396,1055,город Москва Родниковая улица,1, район Солнцево
397,1061,город Москва Ростокинская улица,1, район Ростокино
398,1064,город Москва Рубцов переулок,1, Басманный район
399,1067,город Москва Русаковская набережная,1, район Сокольники
400,1077,город Москва Садовая-Сухаревская улица,1, Мещанский район
401,1082,город Москва Садовнический проезд,1, район Замоскворечье
402,1089,город Москва Сверчков переулок,1, Басманный район
403,1097,город Москва Северодвинская улица,1, район Северное Медведково
404,1106,город Москва Сеченовский переулок,1, район Хамовники
405,1107,город Москва Сибирский проезд,1, Таганский район
406,1108,город Москва Сивашская улица,1, район Зюзино
407,1111,город Москва Симферопольский проезд,1, Нагорный район
408,1216,город Москва Таёжная улица,1, Лосиноостровский район
409,1219,город Москва Театральная аллея,1, район Аэропорт
410,1222,город Москва Тенистый проезд,1, район Свиблово
411,1350,город Москва Ялтинская улица,1, Нагорный район
412,1306,город Москва Черниговский переулок,1, район Замоскворечье
413,1307,город Москва Черницынский проезд,1, район Гольяново
414,1308,город Москва Черноморский бульвар,1, Нагорный район
415,1314,город Москва Чукотский проезд,1, Бабушкинский район
416,1315,город Москва Чуксин тупик,1, Тимирязевский район
417,1319,город Москва Шепелюгинская улица,1, район Лефортово
418,1328,город Москва Штурвальная улица,1, район Южное Тушино
419,1329,город Москва Шубинский переулок,1, район Арбат
